#Frame           dist
       1       4.3750
       2       4.8843
       3       4.5649
       4       5.2815
       5       5.7593
       6       5.5419
       7       5.7366
       8       5.9333
       9       5.8026
      10       4.9459
      11       6.0703
      12       5.7232
      13       5.9966
      14       5.0414
      15       5.5987
      16       6.3277
      17       5.4557
      18       5.5570
      19       6.4376
      20       7.3659
      21       7.7763
      22       7.0148
      23       8.1161
      24       6.7991
      25       9.8517
      26       9.0438
      27       9.3618
      28      10.3415
      29      11.3371
      30      11.7196
      31      12.1711
      32      12.3565
      33      12.7786
      34      13.5640
      35      13.5419
      36      14.0480
      37      16.2406
      38      17.9195
      39      17.9732
      40      17.4561
      41      19.2617
      42      19.8011
      43      22.7034
      44      23.8403
      45      24.4083
      46      26.0194
      47      26.5915
      48      26.2776
      49      31.0679
      50      29.3277
      51      26.3549
      52      29.5871
      53      30.0110
      54      29.5917
      55      27.7680
      56      32.1049
      57      31.8230
      58      25.7539
      59      27.4870
      60      28.1665
