#Frame           dist
       1       5.1466
       2       7.1679
       3       5.6734
       4       6.3585
       5       6.0064
       6       5.5642
       7       4.9822
       8       4.9114
       9       5.6800
      10       5.2841
      11       5.5516
      12       5.2308
      13       5.1010
      14       4.8923
      15       4.9495
      16       5.3563
      17       5.0436
      18       5.5838
      19       5.0966
      20       5.1190
      21       9.0924
      22       9.2508
      23      10.3722
      24      11.0679
      25      11.3727
      26      11.9947
      27      10.7893
      28      12.4460
      29      13.7302
      30      11.9004
      31      12.0584
      32      12.4523
      33      13.0596
      34      14.6423
      35      17.6784
      36      15.4461
      37      16.4066
      38      22.9856
      39      28.5956
      40      29.4620
      41      29.7335
      42      29.5520
      43      31.2204
      44      37.9531
      45      36.1102
      46      33.3486
      47      33.7604
      48      35.8764
      49      37.5114
      50      32.3446
      51      31.9658
      52      34.2107
      53      34.8076
      54      36.9724
      55      36.1229
      56      32.2846
      57      32.9902
      58      34.4502
      59      33.9614
      60      35.9337
