#Frame           dist
       1       5.1833
       2       4.7878
       3       4.5629
       4       5.4410
       5       4.7155
       6       4.6734
       7       5.2331
       8       4.6417
       9       5.3547
      10       5.3251
      11       4.7794
      12       4.4199
      13       4.4367
      14       4.4330
      15       4.4572
      16       4.7481
      17       4.8661
      18       4.7401
      19       4.5231
      20       5.0459
      21       4.8799
      22       5.0942
      23       5.6767
      24       5.7493
      25       7.2419
      26       6.5128
      27       5.0807
      28       8.4247
      29       7.9719
      30       8.7893
      31       9.0831
      32       8.6867
      33       8.8242
      34       7.2833
      35       8.1316
      36       8.1428
      37       8.1468
      38       9.3459
      39       8.9333
      40       8.2767
      41       8.8392
      42       8.5550
      43       9.9142
      44       9.9938
      45       9.8558
      46       9.4813
      47       9.7707
      48      10.4236
      49      10.6228
      50      13.9219
      51      13.9602
      52      14.7731
      53      15.8180
      54      15.3972
      55      18.4558
      56      17.7272
      57      18.0425
      58      17.6906
      59      24.3078
      60      25.1805
