#Frame           dist
       1       5.7333
       2       6.7649
       3       5.7298
       4       5.7416
       5       4.8439
       6       4.6146
       7       4.9458
       8       4.8422
       9       4.4173
      10       4.2944
      11       4.8305
      12       4.7510
      13       5.2442
      14       5.2278
      15       5.3080
      16       5.3124
      17       5.6051
      18       6.8411
      19       6.6304
      20       8.1529
      21       9.9546
      22      14.9664
      23      16.8200
      24      16.6339
      25      15.2361
      26      16.5696
      27      18.2555
      28      17.0159
      29      20.1652
      30      21.5629
      31      20.3479
      32      23.4608
      33      20.4458
      34      22.7997
      35      17.9264
      36      16.1143
      37      16.5753
      38      21.6954
      39      20.6728
      40      20.9292
      41      25.4417
      42      28.4638
      43      26.2202
      44      21.8752
      45      23.3818
      46      24.9904
      47      25.8545
      48      30.4400
      49      33.1217
      50      36.9176
      51      34.3426
      52      36.9115
      53      34.6160
      54      28.6320
      55      34.3830
      56      32.7420
      57      38.3611
      58      39.1050
      59      39.0934
      60      36.7068
