#Frame           dist
       1       7.1610
       2       6.9252
       3       5.7049
       4       6.4132
       5       5.5876
       6       6.6993
       7       6.9890
       8       7.9917
       9       7.5147
      10       6.6779
      11       7.1356
      12       8.2161
      13       8.4055
      14       7.8770
      15       7.7581
      16       8.9379
      17       8.0143
      18       8.5107
      19       9.1681
      20       9.2766
      21       9.2029
      22       8.9532
      23       7.2703
      24       7.9051
      25       8.9003
      26       7.5575
      27       6.8639
      28       7.7901
      29       8.4861
      30      10.1733
      31      11.0264
      32      10.4527
      33      10.2855
      34      10.8598
      35       9.3050
      36      10.1965
      37      11.3794
      38      10.2171
      39       9.9118
      40      10.1105
      41      10.5137
      42      10.2351
      43      12.5066
      44      13.6436
      45      14.3508
      46      14.3520
      47      14.0405
      48      14.5151
      49      15.1261
      50      14.8915
      51      15.4107
      52      16.4713
      53      16.4193
      54      16.8358
      55      18.4916
      56      18.7310
      57      19.0218
      58      19.3239
      59      19.3556
      60      20.4096
