#Frame           dist
       1       6.0116
       2       7.0846
       3       6.4161
       4       6.9564
       5       6.1849
       6       6.6537
       7       6.3256
       8       7.0062
       9       8.4233
      10       8.5665
      11       7.9231
      12       7.0177
      13       7.3115
      14       8.6029
      15       8.1628
      16       7.5460
      17       7.4488
      18       7.5092
      19       7.2769
      20       7.0367
      21       7.5156
      22       6.0657
      23       8.0119
      24       9.7127
      25       9.9453
      26      10.0442
      27      10.1464
      28      10.6803
      29       9.9291
      30      10.1144
      31      10.8709
      32      10.0372
      33      10.0456
      34      10.8528
      35      10.3578
      36      11.0569
      37      11.5445
      38      11.9980
      39      12.9541
      40      13.7129
      41      14.0080
      42      14.8976
      43      15.7829
      44      17.5598
      45      18.3830
      46      18.2550
      47      18.7044
      48      19.5308
      49      21.1159
      50      21.3982
      51      22.0315
      52      21.2722
      53      21.5865
      54      27.2323
      55      24.5244
      56      24.1082
      57      24.3322
      58      27.4637
      59      27.6725
      60      27.4229
